x_path2d,y_path2d,z_path2d
525,0,250
520.1056516,30.90169944,250
505.9016994,58.77852523,250
483.7785252,80.90169944,250
455.9016994,95.10565163,250
425,100,250
394.0983006,95.10565163,250
366.2214748,80.90169944,250
344.0983006,58.77852523,250
329.8943484,30.90169944,250
325,0,250
329.8943484,-30.90169944,250
344.0983006,-58.77852523,250
366.2214748,-80.90169944,250
394.0983006,-95.10565163,250
425,-100,250
455.9016994,-95.10565163,250
483.7785252,-80.90169944,250
505.9016994,-58.77852523,250
520.1056516,-30.90169944,250
525,0,250
