x_path3d,y_path3d,z_path3d
525,0,300
520.1056516,30.90169944,292.6584774
505.9016994,58.77852523,271.3525492
483.7785252,80.90169944,238.1677878
455.9016994,95.10565163,196.3525492
425,100,150
394.0983006,95.10565163,103.6474508
366.2214748,80.90169944,61.83221216
344.0983006,58.77852523,28.64745084
329.8943484,30.90169944,7.341522556
325,0,0
329.8943484,-30.90169944,7.341522556
344.0983006,-58.77852523,28.64745084
366.2214748,-80.90169944,61.83221216
394.0983006,-95.10565163,103.6474508
425,-100,150
455.9016994,-95.10565163,196.3525492
483.7785252,-80.90169944,238.1677878
505.9016994,-58.77852523,271.3525492
520.1056516,-30.90169944,292.6584774
525,0,300
